datetime,trade_pnl,equity,equity_smooth
2026-03-27 11:27:00-04:00,-38.5,26807.5,27240.4
2026-03-27 16:00:00-04:00,869.5,27677.0,27419.3
2026-03-30 10:59:00-04:00,238.0,27915.0,27700.5
2026-03-30 11:34:00-04:00,-64.0,27851.0,27982.1
2026-03-30 16:00:00-04:00,401.0,28252.0,28075.6
2026-03-31 09:32:00-04:00,-36.5,28215.5,28113.9
2026-03-31 09:34:00-04:00,-71.0,28144.5,28157.4
2026-03-31 11:07:00-04:00,-38.0,28106.5,28109.3
2026-03-31 11:12:00-04:00,-38.0,28068.5,28061.4
2026-03-31 11:36:00-04:00,-57.0,28011.5,28015.6
2026-03-31 11:52:00-04:00,-35.5,27976.0,27971.4
2026-03-31 12:02:00-04:00,-60.5,27915.5,27914.2
2026-03-31 12:06:00-04:00,-30.0,27885.5,27859.6
2026-04-01 09:54:00-04:00,-103.0,27782.5,27800.6
2026-04-01 10:00:00-04:00,-44.0,27738.5,27754.4
2026-04-01 15:20:00-04:00,-57.5,27681.0,27699.3
2026-04-01 16:00:00-04:00,3.5,27684.5,27665.8
2026-04-02 09:32:00-04:00,-74.5,27610.0,27635.7
2026-04-02 09:47:00-04:00,5.0,27615.0,27597.1
2026-04-06 09:32:00-04:00,-27.0,27588.0,27534.2
2026-04-06 09:34:00-04:00,-100.0,27488.0,27467.3
2026-04-06 09:42:00-04:00,-118.0,27370.0,27383.6
2026-04-06 10:14:00-04:00,-94.5,27275.5,27305.5
2026-04-06 10:41:00-04:00,-79.0,27196.5,27253.5
2026-04-06 12:36:00-04:00,1.0,27197.5,27215.6
2026-04-06 13:37:00-04:00,30.5,27228.0,27200.1
2026-04-06 14:17:00-04:00,-47.5,27180.5,27229.6
2026-04-07 09:37:00-04:00,17.5,27198.0,27262.1
2026-04-07 10:34:00-04:00,146.0,27344.0,27286.2
2026-04-07 11:56:00-04:00,16.0,27360.0,27297.3
2026-04-07 11:58:00-04:00,-11.5,27348.5,27310.0
2026-04-07 15:16:00-04:00,-112.5,27236.0,27300.9
2026-04-08 09:36:00-04:00,25.5,27261.5,27293.8
2026-04-08 09:47:00-04:00,37.0,27298.5,27278.7
2026-04-08 11:47:00-04:00,26.0,27324.5,27273.8
2026-04-08 16:00:00-04:00,-51.5,27273.0,27258.5
2026-04-09 09:32:00-04:00,-61.5,27211.5,27239.6
2026-04-09 09:39:00-04:00,-26.5,27185.0,27206.0
2026-04-09 10:53:00-04:00,19.0,27204.0,27161.0
2026-04-09 11:11:00-04:00,-47.5,27156.5,27113.8
2026-04-10 09:32:00-04:00,-108.5,27048.0,27069.8
2026-04-10 09:38:00-04:00,-72.5,26975.5,27008.8
2026-04-10 09:46:00-04:00,-10.5,26965.0,26959.5
2026-04-10 09:53:00-04:00,-66.0,26899.0,26929.5
2026-04-10 10:15:00-04:00,11.0,26910.0,26907.2
2026-04-10 10:46:00-04:00,-12.0,26898.0,26883.1
2026-04-10 10:57:00-04:00,-34.0,26864.0,26907.7
2026-04-10 11:35:00-04:00,-19.5,26844.5,26938.8
2026-04-10 16:00:00-04:00,177.5,27022.0,26959.1
2026-04-13 09:34:00-04:00,43.5,27065.5,26970.1
2026-04-13 09:49:00-04:00,-66.0,26999.5,26977.9
2026-04-14 09:32:00-04:00,-80.5,26919.0,26947.1
2026-04-14 09:42:00-04:00,-35.5,26883.5,26900.9
2026-04-14 10:03:00-04:00,-15.5,26868.0,26876.25
2026-04-14 10:06:00-04:00,-33.5,26834.5,26862.0
