datetime,trade_pnl,equity,equity_smooth
2026-01-28 15:09:00-0500,-24.5,23819.5,23840.8
2026-01-28 15:26:00-0500,-56.5,23763.0,24246.7
2026-01-28 16:00:00-0500,111.5,23874.5,24639.7
2026-01-29 12:14:00-0500,2058.0,25932.5,25027.0
2026-01-29 12:53:00-0500,-123.5,25809.0,25500.0
2026-01-29 13:03:00-0500,-53.0,25756.0,25924.5
2026-01-29 16:00:00-0500,372.0,26128.0,25921.8
2026-01-30 09:32:00-0500,-131.0,25997.0,25932.7
2026-01-30 09:34:00-0500,-78.0,25919.0,25950.9
2026-01-30 09:38:00-0500,-55.5,25863.5,25880.8
2026-01-30 09:45:00-0500,-16.5,25847.0,25825.7
2026-01-30 09:50:00-0500,-69.5,25777.5,25781.5
2026-01-30 09:55:00-0500,-56.0,25721.5,25737.9
2026-01-30 09:57:00-0500,-23.5,25698.0,25688.8
2026-01-30 10:07:00-0500,-52.5,25645.5,25650.2
2026-01-30 10:22:00-0500,-44.0,25601.5,25605.1
2026-01-30 10:36:00-0500,-17.0,25584.5,25555.3
2026-01-30 10:39:00-0500,-88.5,25496.0,25590.3
2026-01-30 10:54:00-0500,-47.0,25449.0,25719.7
2026-01-30 16:00:00-0500,371.5,25820.5,25871.7
2026-02-02 15:51:00-0500,428.0,26248.5,26021.1
2026-02-02 16:00:00-0500,96.0,26344.5,26355.1
2026-02-03 09:32:00-0500,-101.5,26243.0,26623.7
2026-02-03 16:00:00-0500,876.0,27119.0,26790.4
2026-02-04 09:35:00-0500,44.5,27163.5,26924.5
2026-02-04 09:41:00-0500,-81.5,27082.0,27059.7
2026-02-04 09:46:00-0500,-67.0,27015.0,26999.6
2026-02-04 09:49:00-0500,-96.0,26919.0,26942.2
2026-02-04 09:51:00-0500,-100.5,26818.5,26895.7
2026-02-04 10:24:00-0500,58.0,26876.5,26917.0
2026-02-04 10:27:00-0500,-27.0,26849.5,26952.5
2026-02-04 14:49:00-0500,272.0,27121.5,26995.4
2026-02-04 14:52:00-0500,-25.0,27096.5,27017.7
2026-02-04 15:02:00-0500,-63.5,27033.0,27037.4
2026-02-04 15:04:00-0500,-45.0,26988.0,26999.7
2026-02-04 15:10:00-0500,-40.0,26948.0,26959.7
2026-02-04 15:28:00-0500,-15.0,26933.0,26919.0
2026-02-04 15:30:00-0500,-36.5,26896.5,26870.4
2026-02-04 15:38:00-0500,-67.0,26829.5,26812.1
2026-02-04 15:45:00-0500,-84.5,26745.0,26728.9
2026-02-04 15:48:00-0500,-88.5,26656.5,26669.2
2026-02-04 15:51:00-0500,-139.5,26517.0,26620.3
2026-02-04 16:00:00-0500,81.0,26598.0,26546.4
2026-02-05 09:33:00-0500,-13.0,26585.0,26502.7
2026-02-05 09:35:00-0500,-209.5,26375.5,26517.2
2026-02-05 09:56:00-0500,62.5,26438.0,26496.7
2026-02-05 11:23:00-0500,151.5,26589.5,26484.9
