datetime,open,high,low,close,volume
2026-05-14 06:35:00-04:00,29537.25,29544.0,29531.5,29533.0,322
2026-05-14 06:40:00-04:00,29531.75,29533.0,29514.5,29525.25,658
2026-05-14 06:45:00-04:00,29526.5,29538.0,29518.0,29538.0,430
2026-05-14 06:50:00-04:00,29538.0,29567.0,29531.5,29555.0,1352
2026-05-14 06:55:00-04:00,29554.75,29559.5,29542.0,29545.0,644
2026-05-14 07:00:00-04:00,29544.0,29563.25,29542.25,29562.25,599
2026-05-14 07:05:00-04:00,29562.75,29576.25,29555.5,29575.25,528
2026-05-14 07:10:00-04:00,29575.5,29577.25,29563.0,29565.75,550
2026-05-14 07:15:00-04:00,29563.75,29568.0,29554.75,29557.0,562
2026-05-14 07:20:00-04:00,29556.75,29564.5,29525.25,29529.75,1036
2026-05-14 07:25:00-04:00,29529.5,29529.5,29508.25,29523.75,778
2026-05-14 07:30:00-04:00,29524.75,29544.25,29524.5,29540.5,516
2026-05-14 07:35:00-04:00,29541.75,29551.75,29540.0,29542.5,432
2026-05-14 07:40:00-04:00,29544.25,29549.75,29542.0,29546.0,336
2026-05-14 07:45:00-04:00,29546.0,29565.0,29544.25,29563.75,513
2026-05-14 07:50:00-04:00,29563.5,29565.0,29552.0,29554.0,521
2026-05-14 07:55:00-04:00,29554.25,29558.75,29536.75,29540.0,1006
2026-05-14 08:00:00-04:00,29540.0,29557.0,29535.0,29553.25,762
2026-05-14 08:05:00-04:00,29552.5,29563.0,29550.75,29560.75,538
2026-05-14 08:10:00-04:00,29560.75,29565.25,29552.0,29560.75,520
2026-05-14 08:15:00-04:00,29560.25,29571.5,29549.5,29552.0,596
2026-05-14 08:20:00-04:00,29552.5,29573.75,29552.5,29571.0,900
2026-05-14 08:25:00-04:00,29568.5,29575.0,29558.75,29561.0,830
2026-05-14 08:30:00-04:00,29562.75,29564.75,29538.75,29547.0,1287
2026-05-14 08:35:00-04:00,29547.25,29553.75,29522.0,29536.0,1004
2026-05-14 08:40:00-04:00,29535.25,29543.5,29520.75,29521.0,866
2026-05-14 08:45:00-04:00,29520.5,29529.75,29506.25,29524.5,1363
2026-05-14 08:50:00-04:00,29524.75,29525.75,29486.75,29490.5,1555
2026-05-14 08:55:00-04:00,29490.5,29505.75,29476.5,29494.5,2264
2026-05-14 09:00:00-04:00,29494.25,29500.75,29475.75,29491.75,1824
2026-05-14 09:05:00-04:00,29492.5,29495.25,29456.75,29461.5,2435
2026-05-14 09:10:00-04:00,29460.75,29474.0,29448.25,29474.0,2146
2026-05-14 09:15:00-04:00,29473.25,29484.0,29467.75,29467.75,1458
2026-05-14 09:20:00-04:00,29468.0,29496.75,29466.0,29490.0,1999
2026-05-14 09:25:00-04:00,29490.5,29493.0,29452.5,29476.25,4447
2026-05-14 09:30:00-04:00,29476.25,29552.0,29458.5,29550.0,17013
2026-05-14 09:35:00-04:00,29551.0,29599.75,29540.25,29586.5,12914
2026-05-14 09:40:00-04:00,29586.0,29628.5,29574.5,29626.0,11485
2026-05-14 09:45:00-04:00,29625.5,29680.75,29625.25,29665.5,15921
2026-05-14 09:50:00-04:00,29666.0,29684.75,29605.5,29609.25,12260
